Địa chỉ,Tên Nhà,Số tầng,Diện tích (m2),Giá,Hướng
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt phố Khu đô thị Đền Lừ I, II, diện tích 55m² x 7 tầng, mặt tiền 5.38m",7 tầng,55m²,21.8 tỷ,Tây Bắc
"Q. Hoàng Mai, TP. Hà Nội","Nhà mặt ngõ cách Tân Mai 100m, diện tích 38m² x 1 tầng, mặt tiền 5m",1 tầng,38m²,5.8 tỷ,Đông
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Lê Trọng Tấn 120m, diện tích 77.8m² x 1 tầng, mặt tiền 4.3m",1 tầng,77.8m²,17 tỷ,Đông Nam
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Giáp Nhất 100m, diện tích 52.9m² x 5 tầng, mặt tiền 4.5m",5 tầng,52.9m²,7.9 tỷ,Đông
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Bùi Xương Trạch 80m, diện tích 33.5m² x 5 tầng, mặt tiền 3.85m",5 tầng,33.5m²,6.6 tỷ,Đông
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Nguyễn Văn Trỗi, diện tích 80m² x 6 tầng, mặt tiền 5.4m",6 tầng,80m²,19.8 tỷ,Bắc
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Khương Đình, diện tích 141.5m² x 3 tầng, mặt tiền 3.7m",3 tầng,141.5m²,27.5 tỷ,Nam
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Khương Trung, diện tích 58.7m² x 4 tầng, mặt tiền 3.2m",4 tầng,58.7m²,14 tỷ,Tây
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Quan Nhân 100m, diện tích 174.9m² x 3 tầng, mặt tiền 8.05m",3 tầng,174.9m²,46.5 tỷ,Tây
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt phố Cự Lộc, diện tích 44.5m² x 4 tầng, mặt tiền 3.2m",4 tầng,44.5m²,10.5 tỷ,Đông Bắc
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Giải Phóng (phía đối diện đường tàu) 20m, diện tích 71.9m² x 3 tầng, mặt tiền 4.2m",3 tầng,71.9m²,16 tỷ,Tây
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Quan Nhân 100m, diện tích 158m² x 1 tầng, mặt tiền 5.5m",1 tầng,158m²,26 tỷ,Tây
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Văn Trỗi 100m, diện tích 45m² x 4 tầng, mặt tiền 3.9m",4 tầng,45m²,13.8 tỷ,Nam
"Q. Thanh Xuân, TP. Hà Nội","Nhà mặt ngõ cách Hoàng Văn Thái 50m, diện tích 44.6m² x 7 tầng, mặt tiền 12m",7 tầng,44.6m²,12 tỷ,Đông Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Đại La 150m, diện tích 36.3m² x 5 tầng, mặt tiền 2.97m",5 tầng,36.3m²,7.6 tỷ,Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Trần Khát Chân 4m, diện tích 34.3m² x 4 tầng, mặt tiền 2.84m",4 tầng,34.3m²,10 tỷ,Đông Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Đình Chiểu 5m, diện tích 13.6m² x 2 tầng, mặt tiền 3.24m",2 tầng,13.6m²,4.4 tỷ,Đông Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Nguyễn Công Trứ, diện tích 19.8m² x 5 tầng, mặt tiền 2.68m",5 tầng,19.8m²,7.5 tỷ,Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Lò Đúc, diện tích 79.2m² x 4 tầng, mặt tiền 4.15m",4 tầng,79.2m²,51.4 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Bạch Mai, diện tích 122.3m² x 3 tầng, mặt tiền 3.29m",3 tầng,122.3m²,43 tỷ,Tây
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Đường từ Minh Khai đến chân cầu Vĩnh Tuy 30m, diện tích 54.9m² x 5 tầng, mặt tiền 3.76m",5 tầng,54.9m²,11 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Bạch Mai 100m, diện tích 22.9m² x 4 tầng, mặt tiền 3.97m",4 tầng,22.9m²,3.95 tỷ,Đông Bắc
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Lê Thanh Nghị 12m, diện tích 41.29m² x 1 tầng, nhà 2 mặt tiền",1 tầng,41.29m²,9.9 tỷ,"Đông Bắc, Đông Nam"
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Trương Định, diện tích 33.3m² x 3 tầng, nhà 2 mặt tiền",3 tầng,33.3m²,12 tỷ,"Tây Bắc, Tây Nam"
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt ngõ cách Trần Khát Chân 6m, diện tích 40m² x 5 tầng, mặt tiền 3.6m",5 tầng,40m²,11 tỷ,Tây Nam
"Q. Hai Bà Trưng, TP. Hà Nội","Nhà mặt phố Hàng Chuối, diện tích 26.75m² x 2 tầng, mặt tiền 4m",2 tầng,26.75m²,7.4 tỷ,Đông Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trung Phụng 20m, diện tích 15.3m² x 4 tầng, mặt tiền 2.17m",4 tầng,15.3m²,3.36 tỷ,Đông Bắc
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Khâm Thiên 30m, diện tích 23.2m² x 4 tầng, mặt tiền 2.83m",4 tầng,23.2m²,4.3 tỷ,Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Khâm Thiên 200m, diện tích 102.8m² x 3 tầng, mặt tiền 4.58m",3 tầng,102.8m²,11 tỷ,Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Phúc Lai 20m, diện tích 90m² x 6 tầng, mặt tiền 5.5m",6 tầng,90m²,35 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trường Chinh 10m, diện tích 78.79m² x 9 tầng, nhà 2 mặt tiền",9 tầng,78.79m²,27 tỷ,"Tây Nam, Đông Nam"
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Tam Khương 38m, diện tích 116.4m² x 8 tầng, mặt tiền 6.12m",8 tầng,116.4m²,27 tỷ,Đông Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Giảng Võ 15m, diện tích 21.1m² x 4 tầng, mặt tiền 3.36m",4 tầng,21.1m²,6.4 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Tôn Đức Thắng 30m, diện tích 82.86m² x 4 tầng, mặt tiền 7.29m",4 tầng,82.86m²,25.8 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách La Thành 200m, diện tích 67.7m² x 3 tầng, mặt tiền 4.5m",3 tầng,67.7m²,6.8 tỷ,Tây Bắc
"Q. Đống Đa, TP. Hà Nội","Nhà mặt phố Thái Thịnh, diện tích 90.1m² x 5 tầng, mặt tiền 2.3m",5 tầng,90.1m²,38.5 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Lương Bằng 100m, diện tích 64.6m² x 4 tầng, mặt tiền 4m",4 tầng,64.6m²,16.3 tỷ,Tây Nam
"Q. Đống Đa, TP. Hà Nội","Nhà mặt ngõ cách Trường Chinh 50m, diện tích 69.5m² x 5 tầng, mặt tiền 4m",5 tầng,69.5m²,12.5 tỷ,Tây Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Trần Duy Hưng 30m, diện tích 54m² x 4 tầng, mặt tiền 6m",4 tầng,54m²,10.5 tỷ,Tây Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Đình Hoàn 20m, diện tích 81.59m² x 4 tầng, mặt tiền 3.5m",4 tầng,81.59m²,13.8 tỷ,Đông Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Phạm Văn Đồng 100m, diện tích 30m² x 5 tầng, mặt tiền 4.83m",5 tầng,30m²,5.86 tỷ,Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Cầu Giấy, diện tích 28.41m² x 5 tầng, mặt tiền 3.25m",5 tầng,28.41m²,19.5 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Trung Kính, diện tích 67.3m² x 1 tầng, mặt tiền 6.27m",1 tầng,67.3m²,116 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Nguyễn Khánh Toàn 150m, diện tích 79.9m² x 6 tầng, mặt tiền 4.2m",6 tầng,79.9m²,21 tỷ,Tây Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Hạ Yên Quyết 30m, diện tích 44m² x 4 tầng, mặt tiền 3.6m",4 tầng,44m²,15.7 tỷ,Đông Nam
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt phố Nguyễn Khang, diện tích 44.3m² x 1 tầng, mặt tiền 3.01m",1 tầng,44.3m²,18.9 tỷ,Đông Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Phùng Chí Kiên 20m, diện tích 47.6m² x 8 tầng, mặt tiền 4.27m",8 tầng,47.6m²,16.8 tỷ,Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Hồ Tùng Mậu 120m, diện tích 40.2m² x 6 tầng, mặt tiền 4.4m",6 tầng,40.2m²,10.2 tỷ,Tây Bắc
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Trần Vỹ 20m, diện tích 24.66m² x 5 tầng, mặt tiền 3m",5 tầng,24.66m²,7.9 tỷ,Tây
"Q. Cầu Giấy, TP. Hà Nội","Nhà mặt ngõ cách Cầu Giấy 80m, diện tích 46.82m² x 5 tầng, mặt tiền 3.34m",5 tầng,46.82m²,6.9 tỷ,Đông Nam
